CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Segment
157,Male,37,78,1,3,Medium Spenders
158,Female,30,78,78,2,High Spenders
159,Male,34,78,1,3,Medium Spenders
160,Female,30,78,73,2,High Spenders
161,Female,56,79,35,4,Medium Spenders
162,Female,29,79,83,2,High Spenders
163,Male,19,81,5,3,Medium Spenders
164,Female,31,81,93,2,High Spenders
165,Male,50,85,26,3,Medium Spenders
166,Female,36,85,75,2,High Spenders
167,Male,42,86,20,3,Medium Spenders
168,Female,33,86,95,2,High Spenders
169,Female,36,87,27,3,Medium Spenders
170,Male,32,87,63,2,High Spenders
171,Male,40,87,13,3,Medium Spenders
172,Male,28,87,75,2,High Spenders
173,Male,36,87,10,3,Medium Spenders
174,Male,36,87,92,2,High Spenders
175,Female,52,88,13,3,Medium Spenders
176,Female,30,88,86,2,High Spenders
177,Male,58,88,15,3,Medium Spenders
178,Male,27,88,69,2,High Spenders
179,Male,59,93,14,3,Medium Spenders
180,Male,35,93,90,2,High Spenders
181,Female,37,97,32,3,Medium Spenders
182,Female,32,97,86,2,High Spenders
183,Male,46,98,15,3,Medium Spenders
184,Female,29,98,88,2,High Spenders
185,Female,41,99,39,3,Medium Spenders
186,Male,30,99,97,2,High Spenders
187,Female,54,101,24,3,Medium Spenders
188,Male,28,101,68,2,High Spenders
189,Female,41,103,17,3,Medium Spenders
190,Female,36,103,85,2,High Spenders
191,Female,34,103,23,3,Medium Spenders
192,Female,32,103,69,2,High Spenders
193,Male,33,113,8,3,Medium Spenders
194,Female,38,113,91,2,High Spenders
195,Female,47,120,16,3,Medium Spenders
196,Female,35,120,79,2,High Spenders
197,Female,45,126,28,3,Medium Spenders
198,Male,32,126,74,2,High Spenders
199,Male,32,137,18,3,Medium Spenders
200,Male,30,137,83,2,High Spenders
